Zip Code ,Population,Case Count - Cumulative,Case Count - Last 30 Days ,Case Count - Last 14 Days ,Case Count Per 100K - Cumulative,Case Count Per 100K - Last 30 Days,Case Count Per 100K - Last 14 Days
43403,5501.0,742.0,163,59,13488.46,2963.1,1072.53
43406,1920.0,324.0,54,12,16875.0,2812.5,625.0
43407,729.0,146.0,21,,20027.43,2880.66,
43408,270.0,58.0,7,,21481.48,2592.59,
43410,10030.0,2546.0,419,79,25383.85,4177.47,787.64
43412,4373.0,863.0,151,32,19734.74,3453.01,731.76
43413,1522.0,293.0,59,19,19250.99,3876.48,1248.36
43416,2989.0,568.0,100,32,19003.01,3345.6,1070.59
43420,30133.0,7669.0,"1,509",354,25450.5,5007.8,1174.79
43430,4504.0,1028.0,181,38,22824.16,4018.65,843.69
43431,4868.0,1092.0,177,42,22432.21,3635.99,862.78
43432,1278.0,263.0,41,,20579.03,3208.14,
43433,85.0,,,,,,
43434,61.0,,,,,,
43435,1345.0,264.0,45,20,19628.25,3345.72,1486.99
43437,578.0,96.0,13,5,16609.0,2249.13,865.05
43438,202.0,28.0,,,13861.39,,
43439,53.0,,,,,,
43440,4738.0,776.0,90,18,16378.22,1899.54,379.91
43442,1170.0,184.0,33,6,15726.5,2820.51,512.82
43443,1920.0,452.0,82,15,23541.67,4270.83,781.25
43445,1239.0,224.0,28,,18079.1,2259.89,
43446,88.0,,,,,,
43447,3645.0,807.0,149,29,22139.92,4087.79,795.61
43449,8219.0,1561.0,286,55,18992.58,3479.74,669.18
43450,3636.0,761.0,158,49,20929.59,4345.43,1347.63
43451,1251.0,261.0,39,15,20863.31,3117.51,1199.04
43452,13674.0,2791.0,461,125,20411.0,3371.36,914.14
43456,291.0,133.0,,,45704.47,,
43457,1536.0,370.0,58,22,24088.54,3776.04,1432.29
43458,521.0,38.0,,,7293.67,,
43460,6498.0,1489.0,286,54,22914.74,4401.35,831.02
43462,1191.0,243.0,41,9,20403.02,3442.49,755.67
43463,39.0,,,,,,
43464,1377.0,327.0,63,12,23747.28,4575.16,871.46
43465,5273.0,1275.0,244,53,24179.78,4627.35,1005.12
43466,2059.0,446.0,95,25,21661.0,4613.89,1214.18
43467,85.0,,,,,,
43468,401.0,169.0,8,,42144.64,1995.01,
43469,2948.0,668.0,107,18,22659.43,3629.58,610.58
43501,870.0,144.0,26,14,16551.72,2988.51,1609.2
43502,6609.0,1723.0,274,75,26070.51,4145.86,1134.82
43504,1261.0,243.0,53,12,19270.42,4203.01,951.63
43505,52.0,,,,,,
43506,14192.0,3523.0,591,230,24823.84,4164.32,1620.63
43511,1075.0,174.0,39,7,16186.05,3627.91,651.16
43512,27951.0,7583.0,"1,247",398,27129.62,4461.38,1423.92
43515,8582.0,1745.0,333,95,20333.26,3880.21,1106.97
43516,2742.0,616.0,124,32,22465.35,4522.25,1167.03
43517,4134.0,922.0,144,45,22302.85,3483.31,1088.53
43518,2524.0,538.0,84,29,21315.37,3328.05,1148.97
43519,333.0,45.0,7,,13513.51,2102.1,
43521,2742.0,590.0,80,19,21517.14,2917.58,692.92
43522,3291.0,662.0,145,27,20115.47,4405.96,820.42
43523,20.0,,,,,,
43524,1302.0,268.0,70,17,20583.72,5376.34,1305.68
43525,1096.0,278.0,64,9,25364.96,5839.42,821.17
43526,5890.0,1334.0,214,68,22648.56,3633.28,1154.5
43527,1986.0,576.0,98,21,29003.02,4934.54,1057.4
43528,15919.0,3936.0,906,190,24725.17,5691.31,1193.54
43529,328.0,55.0,14,,16768.29,4268.29,
43531,308.0,31.0,8,6,10064.94,2597.4,1948.05
43532,3972.0,757.0,125,40,19058.41,3147.03,1007.05
43533,1702.0,287.0,45,9,16862.51,2643.95,528.79
43534,1739.0,338.0,74,24,19436.46,4255.32,1380.1
43535,719.0,171.0,32,8,23783.03,4450.63,1112.66
43536,161.0,72.0,12,,44720.5,7453.42,
43537,27097.0,6753.0,"1,439",277,24921.58,5310.55,1022.25
43540,1358.0,303.0,48,15,22312.22,3534.61,1104.57
43541,140.0,47.0,11,,33571.43,7857.14,
43542,3687.0,967.0,171,56,26227.29,4637.92,1518.85
43543,7785.0,1700.0,292,117,21836.87,3750.8,1502.89
43545,14182.0,3253.0,636,156,22937.53,4484.56,1099.99
43547,179.0,55.0,5,,30726.26,2793.3,
43548,587.0,162.0,29,8,27597.96,4940.37,1362.86
43549,1310.0,272.0,44,14,20763.36,3358.78,1068.7
43551,38839.0,10075.0,"2,116",449,25940.42,5448.13,1156.05
43553,139.0,72.0,13,,51798.56,9352.52,
43554,2371.0,557.0,83,32,23492.2,3500.63,1349.64
43555,313.0,60.0,15,7,19169.33,4792.33,2236.42
43556,1765.0,428.0,64,30,24249.29,3626.06,1699.72
43557,3324.0,727.0,119,29,21871.24,3580.02,872.44
43558,12662.0,3035.0,608,170,23969.36,4801.77,1342.6
43560,32275.0,7744.0,"1,631",337,23993.8,5053.45,1044.15
43565,502.0,96.0,12,,19123.51,2390.44,
43566,7926.0,1991.0,371,82,25119.86,4680.8,1034.57
43567,13247.0,3406.0,594,164,25711.48,4484.03,1238.02
43569,2896.0,602.0,123,30,20787.29,4247.24,1035.91
43570,3195.0,746.0,127,40,23348.98,3974.96,1251.96
43571,7526.0,1701.0,312,73,22601.65,4145.63,969.97
43604,8920.0,1893.0,328,71,21221.97,3677.13,795.96
43605,26096.0,5298.0,"1,179",197,20301.96,4517.93,754.9
43606,25219.0,4691.0,851,160,18601.05,3374.44,634.44
43607,21117.0,4298.0,800,116,20353.27,3788.42,549.32
43608,14570.0,2837.0,475,68,19471.52,3260.12,466.71
43609,21936.0,4297.0,889,136,19588.8,4052.7,619.99
43610,4343.0,893.0,195,31,20561.82,4489.98,713.79
43611,18579.0,4018.0,773,167,21626.57,4160.61,898.86
43612,29686.0,6587.0,"1,259",236,22188.91,4241.06,794.99
43613,32653.0,7625.0,"1,488",252,23351.61,4557.01,771.75
43614,31607.0,6772.0,"1,412",271,21425.63,4467.36,857.41
43615,39786.0,8706.0,"1,891",383,21882.07,4752.93,962.65
43616,20380.0,5170.0,935,147,25368.01,4587.83,721.3
43617,7268.0,1681.0,352,49,23128.78,4843.15,674.19
43619,7296.0,1882.0,342,65,25794.96,4687.5,890.9
43620,5863.0,1069.0,224,55,18232.99,3820.57,938.09
43623,19936.0,4500.0,917,208,22572.23,4599.72,1043.34
43701,55595.0,16084.0,"3,485",926,28930.66,6268.55,1665.62
43711,116.0,14.0,,,12068.97,,
43713,7066.0,1928.0,420,140,27285.59,5943.96,1981.32
43716,1874.0,451.0,97,41,24066.17,5176.09,2187.83
43717,143.0,55.0,10,,38461.54,6993.01,
43718,2926.0,731.0,164,58,24982.91,5604.92,1982.23
43719,2689.0,491.0,105,41,18259.58,3904.8,1524.73
43720,1331.0,305.0,64,19,22915.1,4808.41,1427.5
43721,81.0,,,,,,
43722,306.0,93.0,18,6,30392.16,5882.35,1960.78
43723,5185.0,1279.0,242,67,24667.31,4667.31,1292.19
43724,9319.0,1932.0,335,109,20731.84,3594.81,1169.65
43725,19592.0,5488.0,"1,162",371,28011.43,5930.99,1893.63
43727,1163.0,376.0,93,33,32330.18,7996.56,2837.49
43728,1602.0,181.0,32,15,11298.38,1997.5,936.33
43730,2287.0,523.0,101,34,22868.39,4416.27,1486.66
43731,5379.0,1356.0,231,75,25209.15,4294.48,1394.31
43732,1448.0,413.0,88,26,28522.1,6077.35,1795.58
43734,1738.0,301.0,53,14,17318.76,3049.48,805.52
43735,438.0,130.0,26,9,29680.37,5936.07,2054.79
43736,35.0,,,,,,
43738,103.0,,,,,,
43739,2179.0,437.0,81,32,20055.07,3717.3,1468.56
43740,277.0,58.0,14,5,20938.63,5054.15,1805.05
43746,1215.0,310.0,61,21,25514.4,5020.58,1728.4
43747,879.0,208.0,45,20,23663.25,5119.45,2275.31
43748,2752.0,616.0,104,33,22383.72,3779.07,1199.13
43749,2376.0,502.0,97,35,21127.95,4082.49,1473.06
43750,115.0,21.0,7,,18260.87,6086.96,
43754,1618.0,292.0,46,8,18046.97,2843.02,494.44
43755,1983.0,424.0,81,29,21381.74,4084.72,1462.43
43756,4834.0,1250.0,233,94,25858.5,4820.02,1944.56
43758,3060.0,703.0,137,39,22973.86,4477.12,1274.51
